#	Name:   Map from Commodore VIC-20 (video) alternate character set to Unicode
#	Date:   2018 October 11
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x00	0x0040	# COMMERCIAL AT
0x01	0x0061	# LATIN SMALL LETTER A
0x02	0x0062	# LATIN SMALL LETTER B
0x03	0x0063	# LATIN SMALL LETTER C
0x04	0x0064	# LATIN SMALL LETTER D
0x05	0x0065	# LATIN SMALL LETTER E
0x06	0x0066	# LATIN SMALL LETTER F
0x07	0x0067	# LATIN SMALL LETTER G
0x08	0x0068	# LATIN SMALL LETTER H
0x09	0x0069	# LATIN SMALL LETTER I
0x0A	0x006A	# LATIN SMALL LETTER J
0x0B	0x006B	# LATIN SMALL LETTER K
0x0C	0x006C	# LATIN SMALL LETTER L
0x0D	0x006D	# LATIN SMALL LETTER M
0x0E	0x006E	# LATIN SMALL LETTER N
0x0F	0x006F	# LATIN SMALL LETTER O
0x10	0x0070	# LATIN SMALL LETTER P
0x11	0x0071	# LATIN SMALL LETTER Q
0x12	0x0072	# LATIN SMALL LETTER R
0x13	0x0073	# LATIN SMALL LETTER S
0x14	0x0074	# LATIN SMALL LETTER T
0x15	0x0075	# LATIN SMALL LETTER U
0x16	0x0076	# LATIN SMALL LETTER V
0x17	0x0077	# LATIN SMALL LETTER W
0x18	0x0078	# LATIN SMALL LETTER X
0x19	0x0079	# LATIN SMALL LETTER Y
0x1A	0x007A	# LATIN SMALL LETTER Z
0x1B	0x005B	# LEFT SQUARE BRACKET
0x1C	0x00A3	# POUND SIGN
0x1D	0x005D	# RIGHT SQUARE BRACKET
0x1E	0x2191	# UPWARDS ARROW
0x1F	0x2190	# LEFTWARDS ARROW
0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x0022	# QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x25	0x0025	# PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x0027	# APOSTROPHE
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x002A	# ASTERISK
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x002D	# HYPHEN-MINUS
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
0x30	0x0030	# DIGIT ZERO
0x31	0x0031	# DIGIT ONE
0x32	0x0032	# DIGIT TWO
0x33	0x0033	# DIGIT THREE
0x34	0x0034	# DIGIT FOUR
0x35	0x0035	# DIGIT FIVE
0x36	0x0036	# DIGIT SIX
