#	Name:   Map from Amstrad CP/M Plus character set to Unicode
#	Date:   2018 May 5
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x00	0x221E	# INFINITY
0x01	0x2299	# CIRCLED DOT OPERATOR
0x02	0x0393	# GREEK CAPITAL LETTER GAMMA
0x03	0x0394	# GREEK CAPITAL LETTER DELTA
0x04	0x2297	# CIRCLED TIMES
0x05	0x00D7	# MULTIPLICATION SIGN
0x06	0x00F7	# DIVISION SIGN
0x07	0x2234	# THEREFORE
0x08	0x03A0	# GREEK CAPITAL LETTER PI
0x09	0x2193	# DOWNWARDS ARROW
0x0A	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x0B	0x2190	# LEFTWARDS ARROW
0x0C	0x2192	# RIGHTWARDS ARROW
0x0D	0x00B1	# PLUS-MINUS SIGN
0x0E	0x2194	# LEFT RIGHT ARROW
0x0F	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x10	0x03B1	# GREEK SMALL LETTER ALPHA
0x11	0x03B2	# GREEK SMALL LETTER BETA
0x12	0x03B3	# GREEK SMALL LETTER GAMMA
0x13	0x03B4	# GREEK SMALL LETTER DELTA
0x14	0x03B5	# GREEK SMALL LETTER EPSILON
0x15	0x03B6	# GREEK SMALL LETTER ZETA
0x16	0x03B7	# GREEK SMALL LETTER ETA
0x17	0x03B8	# GREEK SMALL LETTER THETA
0x18	0x03BB	# GREEK SMALL LETTER LAMDA
0x19	0x03BC	# GREEK SMALL LETTER MU
0x1A	0x03C0	# GREEK SMALL LETTER PI
0x1B	0x03C1	# GREEK SMALL LETTER RHO
0x1C	0x03C3	# GREEK SMALL LETTER SIGMA
0x1D	0x03C4	# GREEK SMALL LETTER TAU
0x1E	0x03C6	# GREEK SMALL LETTER PHI
0x1F	0x03C7	# GREEK SMALL LETTER CHI
0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x0022	# QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x25	0x0025	# PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x0027	# APOSTROPHE
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x002A	# ASTERISK
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x002D	# HYPHEN-MINUS
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
